id,outage_id,location,monitoring_server,ipv4,alert_time,output
201313704,202522452,US-CA-Los Angeles,US-Los Angeles(DigitalRealty)-30,23.227.177.154,2025-02-27T16:12:52.393264Z,"HTTP CRITICAL: HTTP/2 500  - 901 bytes in 11.106 second response time

time=11.106432s;;;0.000000;40.000000 size=901B;;;0;"
201313753,202522452,Austria-Vienna,AT-Vienna(Interxion)-4,94.198.41.230,2025-02-27T16:13:04.518660Z,"HTTP CRITICAL: HTTP/2 500  - 895 bytes in 11.124 second response time

time=11.124359s;;;0.000000;40.000000 size=895B;;;0;"
201313909,202522452,US-NY-New York,US-New York(DigitalRealty)-20,198.178.224.9,2025-02-27T16:15:00.356401Z,"HTTP CRITICAL: HTTP/2 500  - 897 bytes in 19.657 second response time

time=19.657389s;;;0.000000;40.000000 size=897B;;;0;"
201314531,202523368,US-NY-New York,US-New York(DigitalRealty)-20,198.178.224.9,2025-02-27T16:27:32.152166Z,"HTTP CRITICAL: HTTP/2 500  - 898 bytes in 11.371 second response time

time=11.371293s;;;0.000000;40.000000 size=898B;;;0;"
201314669,202523368,Austria-Vienna,AT-Vienna(Interxion)-4,94.198.41.230,2025-02-27T16:30:16.974392Z,"HTTP CRITICAL: HTTP/2 500  - 900 bytes in 10.464 second response time

time=10.463945s;;;0.000000;40.000000 size=900B;;;0;"
201388412,202597310,US-TX-Dallas,US-Dallas(Equinix)-19,2.56.188.133,2025-02-28T00:55:38.448738Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Operation timed out after 40001 milliseconds with 0 bytes received
201388525,202597310,Austria-Vienna,AT-Vienna(Interxion)-6,146.70.146.182,2025-02-28T00:58:43.375914Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Operation timed out after 40001 milliseconds with 0 bytes received
201423680,202632691,US-CA-Los Angeles,US-Los Angeles(DigitalRealty)-29,46.21.152.34,2025-02-28T13:54:09.184009Z,"PING CRITICAL - Packet loss = 80%, RTA = 0.35 ms

rta=0.347000ms;600.000000;1200.000000;0.000000 pl=80%;30;60;0"
201423697,202632595,Austria-Vienna,AT-Vienna(Interxion)-5,37.120.212.158,2025-02-28T13:54:51.353446Z,"PING CRITICAL - Packet loss = 80%, RTA = 99.91 ms

rta=99.908997ms;600.000000;1200.000000;0.000000 pl=80%;30;60;0"
201423762,202632595,US-CA-Los Angeles,US-Los Angeles(DigitalRealty)-29,46.21.152.34,2025-02-28T13:56:58.730588Z,"PING WARNING - Packet loss = 40%, RTA = 0.28 ms

rta=0.281000ms;600.000000;1200.000000;0.000000 pl=40%;30;60;0"
201423858,202632691,United Kingdom-London,GB-London(Volta)-13,5.180.211.91,2025-02-28T13:59:53.030507Z,"PING CRITICAL - Packet loss = 100%

rta=1200.000000ms;600.000000;1200.000000;0.000000 pl=100%;30;60;0"
201424209,202632595,United Kingdom-London,GB-London(Volta)-13,5.180.211.91,2025-02-28T14:10:30.565557Z,"PING CRITICAL - Packet loss = 60%, RTA = 77.63 ms

rta=77.625999ms;600.000000;1200.000000;0.000000 pl=60%;30;60;0"
201425369,202632691,Austria-Vienna,AT-Vienna(Interxion)-5,37.120.212.158,2025-02-28T14:26:08.330420Z,"PING CRITICAL - Packet loss = 60%, RTA = 105.61 ms

rta=105.608002ms;600.000000;1200.000000;0.000000 pl=60%;30;60;0"
201445064,202654315,US-TX-Dallas,US-Dallas(Equinix)-20,2.56.188.139,2025-02-28T22:09:34.279086Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Operation timed out after 40002 milliseconds with 0 bytes received
201445120,202654315,United Kingdom-London,GB-London(Volta)-16,5.180.211.98,2025-02-28T22:10:23.940319Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Operation timed out after 40001 milliseconds with 0 bytes received
201564871,202774267,US-NY-New York,US-New York(DigitalRealty)-20,198.178.224.9,2025-03-02T22:06:12.315363Z,"HTTP CRITICAL: HTTP/2 500  - 898 bytes in 10.544 second response time

time=10.544243s;;;0.000000;40.000000 size=898B;;;0;"
201564912,202774267,Austria-Vienna,AT-Vienna(Interxion)-4,94.198.41.230,2025-03-02T22:06:36.056639Z,"HTTP CRITICAL: HTTP/2 500  - 901 bytes in 10.547 second response time

time=10.547325s;;;0.000000;40.000000 size=901B;;;0;"
201564954,202774267,United Kingdom-London,GB-London(Volta)-13,5.180.211.91,2025-03-02T22:07:04.235972Z,"HTTP CRITICAL: HTTP/2 500  - 900 bytes in 13.911 second response time

time=13.911247s;;;0.000000;40.000000 size=900B;;;0;"
201568383,202777857,Austria-Vienna,AT-Vienna(Interxion)-6,146.70.146.182,2025-03-02T23:30:02.229601Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40000 milliseconds
201568399,202777782,United Kingdom-London,GB-London(Volta)-14,5.180.211.92,2025-03-02T23:30:12.528388Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40001 milliseconds
201568406,202777803,United Kingdom-London,GB-London(Volta)-17,5.180.210.177,2025-03-02T23:30:20.153854Z,"HTTP CRITICAL: HTTP/1.1 503 Service Unavailable - 615 bytes in 15.003 second response time

time=15.003488s;;;0.000000;40.000000 size=615B;;;0;"
201568424,202777782,US-NY-New York,US-New York(DigitalRealty)-23,198.178.224.98,2025-03-02T23:30:30.189974Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40001 milliseconds
201568439,202777782,US-CA-Los Angeles,US-Los Angeles(DigitalRealty)-32,94.100.20.50,2025-03-02T23:30:36.955185Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40001 milliseconds
201568444,202777803,Austria-Vienna,AT-Vienna(Interxion)-6,146.70.146.182,2025-03-02T23:30:40.870216Z,"HTTP CRITICAL: HTTP/1.1 503 Service Unavailable - 615 bytes in 15.027 second response time

time=15.026853s;;;0.000000;40.000000 size=615B;;;0;"
201568448,202777869,US-NY-New York,US-New York(DigitalRealty)-21,185.209.179.215,2025-03-02T23:30:43.515581Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Failed to connect to images.nypl.org port 443 after 30002 ms: Connection timed out
201568451,202777803,US-CA-Los Angeles,US-Los Angeles(DigitalRealty)-30,23.227.177.154,2025-03-02T23:30:47.518080Z,"HTTP CRITICAL: HTTP/1.1 503 Service Unavailable - 615 bytes in 14.996 second response time

time=14.995702s;;;0.000000;40.000000 size=615B;;;0;"
201568456,202777782,US-TX-Dallas,US-Dallas(Equinix)-20,2.56.188.139,2025-03-02T23:30:50.814424Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40000 milliseconds
201568498,202777857,US-NY-New York,US-New York(DigitalRealty)-24,69.67.151.188,2025-03-02T23:31:25.212240Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40000 milliseconds
201568510,202777869,United Kingdom-London,GB-London(Volta)-13,5.180.211.91,2025-03-02T23:31:34.165325Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Failed to connect to images.nypl.org port 443 after 30003 ms: Connection timed out
201568519,202777782,Austria-Vienna,AT-Vienna(Interxion)-4,94.198.41.230,2025-03-02T23:31:36.738472Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40001 milliseconds
201568536,202777857,US-TX-Dallas,US-Dallas(Equinix)-24,2.56.188.143,2025-03-02T23:31:48.586261Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Connection timed out after 40000 milliseconds
201568548,202777803,US-TX-Dallas,US-Dallas(Equinix)-20,2.56.188.139,2025-03-02T23:31:57.472322Z,"HTTP CRITICAL: HTTP/1.1 503 Service Unavailable - 615 bytes in 15.049 second response time

time=15.048565s;;;0.000000;40.000000 size=615B;;;0;"
201568587,202777869,Austria-Vienna,AT-Vienna(Interxion)-5,37.120.212.158,2025-03-02T23:32:14.201096Z,HTTP CRITICAL - Invalid HTTP response received from host on port 443: cURL returned 28 - Failed to connect to images.nypl.org port 443 after 30002 ms: Connection timed out
201568615,202777803,US-NY-New York,US-New York(DigitalRealty)-25,69.67.151.230,2025-03-02T23:32:29.514671Z,"HTTP CRITICAL: HTTP/1.1 503 Service Unavailable - 613 bytes in 14.966 second response time

time=14.965698s;;;0.000000;40.000000 size=613B;;;0;"
